symbol,period,group,valence_electrons,weight,vdw_radius,single_covalent_radius,double_covalent_radius,triple_covalent_radius
X,0,0,0,0,0,0,0,0
H,1,1,1,1.008,1.2,0.32,0,0
He,1,18,0,4.002602,1.4,0.46,0,0
Li,2,1,1,6.94,1.82,1.33,1.24,0
Be,2,2,2,9.0121831,1.53,1.02,0.9,0.85
B,2,13,3,10.81,1.92,0.85,0.78,0.73
C,2,14,4,12.011,1.7,0.75,0.67,0.6
N,2,15,5,14.007,1.55,0.71,0.6,0.54
O,2,16,6,15.999,1.52,0.63,0.57,0.53
F,2,17,7,18.99840316,1.47,0.64,0.59,0.53
Ne,2,18,0,20.1797,1.54,0.67,0.96,0
Na,3,1,1,22.98976928,2.27,1.55,1.6,0
Mg,3,2,2,24.305,1.73,1.39,1.32,1.27
Al,3,13,3,26.9815385,1.84,1.26,1.13,1.11
Si,3,14,4,28.085,2.1,1.16,1.07,1.02
P,3,15,5,30.973762,1.8,1.11,1.02,0.94
S,3,16,6,32.06,1.8,1.03,0.94,0.95
Cl,3,17,7,35.45,1.75,0.99,0.95,0.93
Ar,3,18,0,39.948,1.88,0.96,1.07,0.96
K,4,1,1,39.0983,2.75,1.96,1.93,0
Ca,4,2,2,40.078,2.31,1.71,1.47,1.33
Sc,4,3,3,44.955908,2.11,1.48,1.16,1.14
Ti,4,4,4,47.867,0,1.36,1.17,1.08
V,4,5,5,50.9415,0,1.34,1.12,1.06
Cr,4,6,6,51.9961,0,1.22,1.11,1.03
Mn,4,7,7,54.938044,0,1.19,1.05,1.03
Fe,4,8,8,55.845,0,1.16,1.09,1.02
Co,4,9,9,58.933194,0,1.11,1.03,0.96
Ni,4,10,10,58.6934,1.63,1.1,1.01,1.01
Cu,4,11,11,63.546,1.4,1.12,1.15,1.2
Zn,4,12,12,65.38,1.39,1.18,1.2,0
Ga,4,13,13,69.723,1.87,1.24,1.17,1.21
Ge,4,14,14,72.63,2.11,1.21,1.11,1.14
As,4,15,15,74.921595,1.85,1.21,1.14,1.06
Se,4,16,16,78.971,1.9,1.16,1.07,1.07
Br,4,17,17,79.904,1.85,1.14,1.09,1.1
Kr,4,18,0,83.798,2.02,1.17,1.21,1.08
Rb,5,1,1,85.4678,3.03,2.1,2.02,0
Sr,5,2,2,87.62,2.49,1.85,1.57,1.39
Y,5,3,3,88.90584,0,1.63,1.3,1.24
Zr,5,4,4,91.224,0,1.54,1.27,1.21
Nb,5,5,5,92.90637,0,1.47,1.25,1.16
Mo,5,6,6,95.95,0,1.38,1.21,1.13
Tc,5,7,7,97,0,1.28,1.2,1.1
Ru,5,8,8,101.07,0,1.25,1.14,1.03
Rh,5,9,9,102.9055,0,1.25,1.1,1.06
Pd,5,10,10,106.42,1.63,1.2,1.17,1.12
Ag,5,11,11,107.8682,1.72,1.28,1.39,1.37
Cd,5,12,12,112.414,1.58,1.36,1.44,0
In,5,13,13,114.818,1.93,1.42,1.36,1.46
